"Frequency (Hz)","Rel. amplitude (a.u.)"
5.347542944E-1,3.667926257E-1
5.319106202E-1,3.702216699E-1
5.290989253E-1,3.740574716E-1
5.291081113E-1,3.740257696E-1
5.290995084E-1,3.739648418E-1
5.347592093E-1,3.632398334E-1
5.347583157E-1,3.526016253E-1
5.494430022E-1,2.603971314E-1
5.681808093E-1,2.304116286E-1
5.780278951E-1,2.152249631E-1
1.213530870E0,4.796541711E-2
1.463419840E0,3.231351072E-2
1.674617153E0,2.450361372E-2
1.466999204E0,3.148439763E-2
1.470589738E0,3.108777066E-2
1.470572654E0,3.081715103E-2
1.965602721E0,1.693897818E-2
1.927674313E0,1.747594038E-2
1.932306620E0,1.728327459E-2
1.970384708E0,1.648776163E-2
1.932377847E0,1.707846419E-2
1.937043074E0,1.693478503E-2
1.763167047E0,2.032034132E-2
1.970460034E0,1.622165866E-2
1.970460034E0,1.622165866E-2
1.999991407E0,1.557858734E-2
1.999994011E0,1.549676078E-2
1.932318774E0,1.647820969E-2
1.736965522E0,2.035190996E-2
1.719854841E0,2.073970205E-2
1.728344830E0,2.053569903E-2
1.728390839E0,2.053143058E-2
1.728388616E0,2.052754353E-2
1.741278869E0,2.021927774E-2
1.728389061E0,2.050662616E-2
1.728379726E0,2.049427401E-2
1.745602129E0,1.999517765E-2
1.481482434E0,2.764965388E-2
1.481475385E0,2.760638349E-2
1.474189778E0,2.786080790E-2
1.470587109E0,2.799959489E-2
1.481490627E0,2.758124773E-2
1.492512175E0,2.713322943E-2
1.534369273E0,2.566785013E-2
1.492540601E0,2.710275068E-2
1.474154313E0,2.754491665E-2
1.474206191E0,2.716213010E-2
1.496282090E0,2.193180222E-2
1.970450428E0,1.022165297E-2
4.116086762E0,1.345405432E-3
4.096362408E0,1.146654340E-3
9.852206642E-1,1.867195586E-2
9.901001588E-1,1.757117774E-2
9.900977336E-1,1.529900730E-2
9.950345445E-1,8.750210556E-3
9.950292589E-1,8.766502778E-3
9.950592975E-1,8.780100706E-3
9.975221706E-1,8.732160198E-3
9.950286144E-1,8.774732663E-3
9.901339854E-1,8.854080120E-3
9.900662069E-1,8.850972857E-3
9.876662605E-1,8.872320726E-3
9.852209168E-1,8.893251486E-3
9.827718056E-1,8.922613597E-3
9.827149653E-1,8.903786129E-3
9.827964552E-1,8.888713540E-3
9.827980904E-1,8.883234658E-3
9.780047000E-1,8.974763288E-3
9.779685836E-1,8.997996309E-3
9.779934912E-1,9.003433076E-3
9.780256237E-1,9.015078783E-3
9.777967567E-1,9.028418463E-3
9.779943630E-1,9.011012946E-3
9.805612669E-1,8.950242758E-3
9.804283275E-1,8.909832052E-3
9.827754529E-1,8.843060623E-3
9.827963296E-1,8.807474145E-3
9.827671527E-1,8.792010263E-3
9.827218812E-1,8.781316021E-3
9.804245724E-1,8.822522042E-3
9.803964122E-1,8.829198769E-3
9.779977255E-1,8.892343869E-3
9.779598664E-1,8.886546966E-3
9.779992200E-1,8.878434963E-3
9.780140407E-1,8.864090712E-3
9.804251982E-1,8.826749458E-3
9.803942847E-1,8.826794123E-3
9.828097868E-1,8.782365887E-3
9.852253401E-1,8.737171276E-3
9.876534319E-1,8.691147873E-3
9.852115641E-1,8.727899654E-3
