number,x,y
602,-12,-34
603,30,4
604,-16,2
605,-8,-32
606,-18,1
607,-12,14
608,-14,-34
609,-11,18
610,-1,-26
611,-20,-26
612,7,-13
613,10,-22
614,-7,20
615,16,18
616,-18,-28
617,5,-30
618,-8,22
619,-19,1
620,-11,19
621,11,28
622,-11,14
623,-12,16
624,27,-4
625,22,7
626,17,18
627,-19,-26
628,-19,-8
629,-16,3
630,17,-3
631,25,-5
632,-19,-28
633,-23,-14
634,-19,-29
635,-2,-25
636,13,26
637,-12,-33
638,11,20
639,31,-1
640,7,-23
641,5,-31
642,7,30
643,-20,-28
644,30,5
645,-13,16
646,-8,-33
647,32,-1
648,-8,23
649,25,-6
650,7,31
651,-19,-30
652,6,30
653,22,8
654,31,-2
655,13,29
656,-22,-20
657,-8,-34
658,9,-25
659,-12,19
660,9,-26
661,5,-29
662,6,-29
663,-17,3
664,1,-30
665,-23,-20
666,-20,-30
667,-13,19
668,-11,-34
669,-19,-7
670,-15,-34
671,32,1
672,-21,-26
673,23,-6
674,-16,-34
675,27,-5
676,16,19
677,-13,20
678,10,-21
679,-9,22
680,-20,-7
681,-13,17
682,33,-1
683,-24,-18
684,-17,-34
685,29,5
686,-12,-35
687,4,25
688,11,-22
689,30,6
690,3,-31
691,-7,23
692,-7,-33
693,31,-3
694,20,8
695,-24,-14
696,-6,-33
697,-21,-28
698,-12,-36
699,22,9
700,-9,23
701,-21,-29
702,-24,-13
703,6,-31
704,29,3
705,-25,-13
706,23,8
707,-11,-36
708,7,-10
709,18,18
710,-21,-27
711,-26,-13
712,31,6
713,13,30
714,29,6
715,5,28
716,-21,-25
717,6,-9
718,7,-31
719,27,-2
720,8,30
721,-22,-27
722,-27,-13
723,14,30
724,-22,-25
725,8,31
726,-14,20
727,-22,-21
728,-15,20
729,-11,-37
730,-14,21
731,5,30
732,-26,-12
733,8,-31
734,7,32
735,-9,24
736,-28,-13
737,-20,1
738,-15,19
739,-21,-30
740,4,30
741,13,25
742,25,-7
743,-10,-37
744,13,31
745,-28,-14
746,14,28
747,7,33
748,-9,25
749,-23,-27
750,-14,17
751,34,-1
752,-10,-38
753,4,28
754,-6,-34
755,-19,2
756,6,33
757,5,-32
758,-14,22
759,-23,-28
760,18,19
761,-16,19
762,13,-6
763,-10,-39
764,7,34
765,-7,24
766,18,20
767,-14,23
768,26,-7
769,11,-23
770,8,-30
771,7,-32
772,-13,-36
773,-13,14
774,31,7
775,34,-2
776,-24,-20
777,6,34
778,-9,-39
779,7,35
780,34,0
781,17,9
782,5,-15
783,8,-12
784,8,32
785,35,-2
786,-7,25
787,28,6
788,-23,-25
789,-15,23
790,7,-33
791,-21,-31
792,-20,2
793,35,0
794,26,-8
795,7,36
796,-12,-37
797,-5,-34
798,31,8
799,15,30
800,12,-22
801,-23,-26
802,26,-9
803,-18,-34
804,9,-30
805,32,6
806,15,31
807,10,-26
808,-21,2
809,14,31
810,8,36
811,-25,-20
812,11,-26
813,9,-31
814,-23,-29
815,0,-30
816,-20,-8
817,-20,3
818,36,0
819,-11,-38
820,34,1
821,5,21
822,-16,23
823,-6,-32
824,36,-2
825,-29,-13
826,32,7
827,22,-5
828,-9,-40
829,-10,25
