"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
3.181003906E1,-1.038470939E-1,3.054326214E-2,-2.687807009E-2
3.184004218E1,0.000000000E0,0.000000000E0,0.000000000E0
3.187003645E1,6.230825558E-2,5.375614017E-2,7.452555746E-2
3.190007500E1,1.612684280E-1,4.031710699E-2,1.246165112E-1
3.193005208E1,1.942551434E-1,4.886921868E-2,1.221730486E-1
3.196001874E1,2.577851415E-1,3.787364438E-2,1.563815027E-1
3.198003958E1,2.883284092E-1,2.809980139E-2,1.600466967E-1
3.201003958E1,3.139847219E-1,1.954768784E-2,1.881465018E-1
3.203005468E1,3.029891551E-1,1.466076635E-2,1.905899495E-1
3.205006614E1,3.176499307E-1,8.552113548E-3,1.979203373E-1
3.208002395E1,3.176499307E-1,4.886921961E-3,1.979203373E-1
3.211008906E1,3.286454976E-1,-2.076941915E-2,1.966986060E-1
3.214002916E1,2.932153046E-1,-5.253441259E-2,1.832595766E-1
3.216003697E1,2.809980214E-1,-6.841690838E-2,1.832595766E-1
3.218004791E1,2.724458873E-1,-8.429940045E-2,1.685988009E-1
3.221004322E1,2.333505303E-1,-8.429940045E-2,1.331686229E-1
3.223015937E1,2.223549485E-1,-6.963863969E-2,1.136209369E-1
3.226027864E1,2.052507252E-1,-7.574728876E-2,8.674286306E-2
3.229007083E1,1.429424733E-1,-7.819075137E-2,6.352998316E-2
3.232004531E1,9.773843735E-2,-8.796459436E-2,3.543018550E-2
3.235004322E1,5.986479297E-2,-8.918632567E-2,-2.932153270E-2
3.238004427E1,1.466076635E-2,-6.719517708E-2,-8.796459436E-2
3.241015000E1,-1.710422710E-2,-4.276056588E-2,-1.282816976E-1
3.244002708E1,-2.199114859E-2,-2.809980139E-2,-1.050688252E-1
3.246005156E1,-2.809980139E-2,-3.543018550E-2,-1.282816976E-1
3.249004427E1,-6.597344577E-2,-4.031710699E-2,-1.747074574E-1
3.251010781E1,-9.285151958E-2,-2.687807009E-2,-1.649336219E-1
3.254005312E1,-8.063421398E-2,-1.710422710E-2,-1.722639948E-1
3.257003645E1,-5.497787148E-2,-1.099557430E-2,-1.649336219E-1
3.260004687E1,-3.543018550E-2,-4.886921961E-3,-1.710422635E-1
3.263004895E1,-3.787364438E-2,-1.466076635E-2,-1.698205322E-1
3.265005989E1,-3.176499158E-2,-8.552113548E-3,-1.514945775E-1
3.268006041E1,2.443460980E-3,-4.886921961E-3,-1.551597714E-1
3.271003750E1,5.619960278E-2,-3.665191587E-3,-1.649336219E-1
3.274003906E1,7.330382615E-2,-2.443460980E-3,-1.148426682E-1
3.277004010E1,6.352998316E-2,0.000000000E0,-4.520402849E-2
3.280004479E1,1.209513173E-1,1.832595654E-2,-5.986479297E-2
3.283004791E1,1.062905490E-1,3.543018550E-2,-7.330383174E-3
3.285018385E1,1.050688252E-1,2.443460934E-2,2.809980139E-2
3.288003958E1,1.319468915E-1,3.787364438E-2,7.330382615E-2
3.290003958E1,1.087340117E-1,2.565634064E-2,7.819075137E-2
3.293002864E1,5.253441259E-2,2.687807009E-2,9.529497474E-2
3.295003333E1,0.000000000E0,5.131268129E-2,1.258382350E-1
3.297010052E1,-3.176499158E-2,5.619960278E-2,1.417207420E-1
3.300005520E1,-7.941248268E-2,7.086037099E-2,1.588249654E-1
3.303002500E1,-1.221730486E-1,6.352998316E-2,1.722639948E-1
3.305004479E1,-1.466076523E-1,6.841690838E-2,1.844813079E-1
3.307006145E1,-1.869247705E-1,7.330382615E-2,1.966986060E-1
3.310003333E1,-2.663372457E-1,8.063421398E-2,1.991420686E-1
3.312003333E1,-3.042109013E-1,8.185594529E-2,1.869247705E-1
3.314007291E1,-3.213151097E-1,8.185594529E-2,1.734857261E-1
3.317005364E1,-3.323107064E-1,9.285151958E-2,1.673770845E-1
3.320004739E1,-3.384193480E-1,7.574728876E-2,1.624901593E-1
3.322005208E1,-3.396410644E-1,7.574728876E-2,1.392772794E-1
3.325004166E1,-2.981022298E-1,7.208210230E-2,9.896016866E-2
3.328004426E1,-3.103195429E-1,8.796459436E-2,7.574728876E-2
3.331005416E1,-2.932153046E-1,9.407325089E-2,5.009094998E-2
3.334002552E1,-2.247984111E-1,6.719517708E-2,-1.343903504E-2
3.336004166E1,-2.076941878E-1,6.352998316E-2,-4.031710699E-2
3.339017447E1,-1.246165112E-1,4.276056588E-2,-8.307767659E-2
3.342003958E1,-1.099557430E-1,4.520402849E-2,-1.282816976E-1
3.345003854E1,-8.552113175E-2,3.298672289E-2,-1.490511149E-1
3.348001718E1,3.665191587E-3,2.321287990E-2,-1.539380401E-1
3.350003697E1,5.253441259E-2,3.665191587E-3,-1.661553532E-1
3.353003593E1,1.270599663E-1,-4.031710699E-2,-1.771509200E-1
3.356004374E1,1.404990107E-1,-4.886921868E-2,-1.637118906E-1
3.359006354E1,1.808161139E-1,-5.497787148E-2,-1.771509200E-1
3.362004635E1,2.125810981E-1,-4.764748737E-2,-1.588249654E-1
3.365002916E1,2.809980214E-1,-6.352998316E-2,-1.624901593E-1
3.367004218E1,2.846632004E-1,-6.352998316E-2,-1.563815027E-1
3.370005833E1,2.541199327E-1,-4.520402849E-2,-1.368338168E-1
3.372006614E1,2.406809032E-1,-3.909537569E-2,-1.160643995E-1
3.375003333E1,2.406809032E-1,-2.687807009E-2,-9.407325089E-2
3.377003385E1,2.101376504E-1,-2.932153270E-2,-6.230825558E-2
